"","Subject","Harmony","Instrument","Voice","Selfdeclare","OMSI","X16.minus.17","ConsInstr","ConsNotes","Instr.minus.Notes","PachListen","ClsListen","KnowRob","KnowAxis","X1990s2000s","X1990s2000s.minus.1960s1970s","CollegeMusic","NoClass","APTheory","Composing","PianoPlay","GuitarPlay","X1stInstr","X2ndInstr","first12","Classical","Popular"
"1","15","I-IV-V","guitar","contrary",5,734,5,4.33,5,-0.67,5,4,0,0,5,2,0,0,0,4,1,5,4,NA,"string",3,9
"2","15","I-IV-V","guitar","par3rd",5,734,5,4.33,5,-0.67,5,4,0,0,5,2,0,0,0,4,1,5,4,NA,"string",3,7
"3","15","I-IV-V","guitar","par5th",5,734,5,4.33,5,-0.67,5,4,0,0,5,2,0,0,0,4,1,5,4,NA,"string",1,8
"4","15","I-IV-V","piano","contrary",5,734,5,4.33,5,-0.67,5,4,0,0,5,2,0,0,0,4,1,5,4,NA,"string",3,7
"5","15","I-IV-V","piano","par3rd",5,734,5,4.33,5,-0.67,5,4,0,0,5,2,0,0,0,4,1,5,4,NA,"string",2,8
"6","15","I-IV-V","piano","par5th",5,734,5,4.33,5,-0.67,5,4,0,0,5,2,0,0,0,4,1,5,4,NA,"string",8,3
"7","15","I-IV-V","string","contrary",5,734,5,4.33,5,-0.67,5,4,0,0,5,2,0,0,0,4,1,5,4,NA,"string",10,1
"8","15","I-IV-V","string","par3rd",5,734,5,4.33,5,-0.67,5,4,0,0,5,2,0,0,0,4,1,5,4,NA,"string",6,4
"9","15","I-IV-V","string","par5th",5,734,5,4.33,5,-0.67,5,4,0,0,5,2,0,0,0,4,1,5,4,NA,"string",5,5
"10","15","I-V-IV","guitar","contrary",5,734,5,4.33,5,-0.67,5,4,0,0,5,2,0,0,0,4,1,5,4,NA,"string",1,8
"11","15","I-V-IV","guitar","par3rd",5,734,5,4.33,5,-0.67,5,4,0,0,5,2,0,0,0,4,1,5,4,NA,"string",2,8
"12","15","I-V-IV","guitar","par5th",5,734,5,4.33,5,-0.67,5,4,0,0,5,2,0,0,0,4,1,5,4,NA,"string",2,8
"13","15","I-V-IV","piano","contrary",5,734,5,4.33,5,-0.67,5,4,0,0,5,2,0,0,0,4,1,5,4,NA,"string",4,7
"14","15","I-V-IV","piano","par3rd",5,734,5,4.33,5,-0.67,5,4,0,0,5,2,0,0,0,4,1,5,4,NA,"string",4,6
"15","15","I-V-IV","piano","par5th",5,734,5,4.33,5,-0.67,5,4,0,0,5,2,0,0,0,4,1,5,4,NA,"string",2,8
"16","15","I-V-IV","string","contrary",5,734,5,4.33,5,-0.67,5,4,0,0,5,2,0,0,0,4,1,5,4,NA,"string",8,2
"17","15","I-V-IV","string","par3rd",5,734,5,4.33,5,-0.67,5,4,0,0,5,2,0,0,0,4,1,5,4,NA,"string",8,4
"18","15","I-V-IV","string","par5th",5,734,5,4.33,5,-0.67,5,4,0,0,5,2,0,0,0,4,1,5,4,NA,"string",8,3
"19","15","I-V-VI","guitar","contrary",5,734,5,4.33,5,-0.67,5,4,0,0,5,2,0,0,0,4,1,5,4,NA,"string",10,3
"20","15","I-V-VI","guitar","par3rd",5,734,5,4.33,5,-0.67,5,4,0,0,5,2,0,0,0,4,1,5,4,NA,"string",3,7
